Player,Nation,Pos,Squad,Comp,Age,Born,90s,total_cmp,total_att,total_cmp%,TotDist,PrgDist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,Ast,xAG,xA,A-xAG,KP,final_third,PPA,CrsPA,PrgP
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,56,62.1,90.2,931.3,199.1,27.3,29.4,92.9,23.9,25.5,93.7,3.94,4.71,83.7,0,0.03,0.03,-0.03,0.62,3.18,0.47,0.04,3.94
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,40.9,50.6,80.8,724.6,208.4,18.5,20.7,89.2,16.3,18.9,86.3,4.63,7.2,64.4,0.06,0.11,0.08,-0.05,1.07,4.48,0.7,0.27,5.21
Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,14.1,20.3,69.7,198.8,47.3,8.54,11.7,73.1,3.91,5.25,74.4,0.82,1.14,71.8,0.12,0.14,0.07,-0.02,1.11,1.02,0.79,0.09,2.04
Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13.4,20.8,64.4,184.5,44.8,8.28,11.3,73.4,3.22,4.67,68.9,0.79,1.5,52.9,0.13,0.13,0.07,0,1.15,1.06,0.44,0,1.45
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,52.9,61.2,86.5,793.5,230.1,28.3,30.7,92.2,18.5,20.5,90.6,3.27,4.73,69,0.07,0.06,0.09,0.01,0.47,5.67,0.53,0,6.4
Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,36.1,49.8,72.4,697.4,240.9,16.3,19.1,85.4,12.4,16.2,76.2,6.25,11.1,56.3,0.28,0.23,0.17,0.05,2.35,4.86,1.43,0.16,6.53
Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,40.2,47.9,83.9,721.6,217,17.8,20,89,15.8,18.1,87,5.38,6.78,79.4,0,0.03,0.03,-0.03,0.63,4.13,0.38,0,5.58
Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,21.5,29.8,72.1,301.7,45.7,12.7,16.6,76.3,5.66,7.86,72,1.41,2.01,70.5,0.26,0.23,0.13,0.03,1.51,0.99,0.76,0.13,2.27
TomÃ¡s AlarcÃ³n,cl CHI,MF,CÃ¡diz,es La Liga,22,1999,15.8,25.2,36.2,69.6,504.9,150.9,10.1,12.2,82.4,8.8,11.7,75.1,5.19,9.05,57.3,0.06,0.07,0.09,-0.01,0.89,2.59,0.44,0.25,3.48
Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,62.3,75.5,82.5,957.9,316.2,34.3,37.8,90.9,21.2,24.2,87.6,4.41,9,48.9,0.34,0.3,0.26,0.05,2.49,9,1.69,0.19,8.54
Thiago AlcÃ¡ntara,es ESP,MF,Liverpool,eng Premier League,30,1991,17,78.8,88.7,88.9,1455.1,420.6,33.7,36.7,91.8,34.9,37.6,92.8,8.82,11.2,78.9,0.24,0.14,0.1,0.1,1.71,12.4,1.53,0.06,12.6
Carles AleÃ±Ã¡,es ESP,MF,Getafe,es La Liga,23,1998,25.8,26.5,33.7,78.6,449.8,95.1,12.8,14.8,86.4,10.3,12,86.1,2.4,4.11,58.5,0.08,0.05,0.05,0.03,0.78,2.56,0.54,0.19,3.14
Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,10.8,15.4,70.1,144.7,25,6.47,7.79,83,3.09,4.51,68.5,0.44,1.03,42.9,0.05,0.13,0.12,-0.08,0.69,0.83,0.49,0.1,1.08
Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,32,40.4,79.2,529.5,172.5,14.7,16.7,87.9,13.9,16.5,83.8,2.35,4.2,55.9,0.08,0.03,0.04,0.05,0.62,4.24,0.82,0.12,5.35
Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,25.2,33,76.3,369.9,79.2,14.8,17.4,85.4,7.45,9.94,75,1.76,2.67,65.9,0.12,0.12,0.08,0.01,0.91,2.67,0.61,0.12,3.39
Miguel AlmirÃ³n,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,21,26.8,78.7,299.5,65.7,12,13.8,86.7,6.18,7.8,79.2,1.2,1.99,60.5,0,0.05,0.03,-0.05,0.84,1.36,0.26,0,2.41
Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,34.1,45.9,74.4,624.1,260.9,15.2,17.5,86.5,14.1,17.4,81,4.06,8.23,49.3,0.12,0.06,0.06,0.06,0.59,3.78,0.47,0.28,4.41
Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,34.8,44.7,77.9,500.7,122.1,20.3,23.8,85.2,10.6,13.1,81.2,1.87,3.3,56.6,0.25,0.2,0.16,0.05,1.56,1.87,1.9,0.4,3.83
Benjamin AndrÃ©,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,45.9,57.7,79.5,744,226,22.6,26.3,85.9,17.1,20.4,84.1,3.69,6.11,60.4,0.03,0.04,0.04,-0.01,0.49,4.74,0.39,0.07,5.82
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,40.1,50,80.2,645.6,207.4,19,22,86.5,16.4,19.8,82.8,2.67,4.5,59.3,0.1,0.07,0.08,0.02,0.59,4.36,0.45,0,4.95
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33,13.3,21.3,62.4,198.3,39.2,7.64,9.82,77.8,3.67,5.82,63,1.12,1.91,58.7,0.24,0.18,0.15,0.06,1.36,0.73,0.82,0.36,1.39
Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,44.7,52,86,656,165.6,25.8,28.2,91.7,14.1,16.3,86.8,2.7,3.6,75,0.14,0.16,0.19,-0.02,1.37,4.6,1.22,0.04,5.94
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,31.5,42.8,73.7,652.6,184.6,11.7,14.1,83,12.3,15.4,79.8,6.76,11,61.5,0.17,0.07,0.09,0.09,1.52,2.94,0.27,0.17,2.67
Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,22.5,34.1,65.9,383.2,127.8,10.9,13,84.2,8.15,11.5,71.2,2.45,6.48,37.7,0.21,0.19,0.21,0.02,1.5,1.67,1.2,0.56,3.39
Charles ArÃ¡nguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,52.3,62.5,83.7,893.5,294.7,25,27.2,91.8,19.9,22.7,87.9,5.2,7.66,67.9,0.23,0.05,0.1,0.18,0.97,5.26,0.8,0.11,5.49
Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,14.6,20.6,70.7,219.9,38.9,7.07,9.04,78.2,5.92,8.03,73.8,0.76,1.4,54.5,0.13,0.1,0.09,0.03,0.83,0.7,0.83,0,1.91
Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,36,45.4,79.3,525.5,130.7,19.6,23.5,83.2,13.2,15.2,86.8,1.52,2.56,59.5,0,0.09,0.09,-0.09,1.52,2.8,1.4,0.24,5.06
Marko ArnautoviÄ‡,at AUT,FW,Bologna,it Serie A,32,1989,29.9,22,30.4,72.6,292.6,54.2,13.4,17.2,77.8,6.32,8.23,76.8,0.77,1.24,62.2,0.03,0.13,0.07,-0.09,1.47,1,0.64,0,2.27
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,43.6,56.1,77.7,903,314.5,14.6,16.5,88.5,19.9,22.6,87.9,7.9,14.1,56.2,0.06,0.14,0.2,-0.08,1.71,4.53,0.87,0.3,5.14
Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,28.9,36.8,78.6,488.1,135.4,12,14.5,82.8,13.2,15.8,83.4,2.34,3.75,62.3,0,0.08,0.06,-0.08,0.82,4.29,0.49,0.11,4.67
Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,13.6,21.1,64.6,190.4,60.3,7.54,9.66,78,4.58,6.48,70.7,0.5,1.45,34.6,0.22,0.11,0.12,0.12,1.12,1.23,1.06,0.34,2.23
Santiago AscacÃ­bar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,36.3,44.2,82.1,543.2,169.9,20.7,23.6,87.6,11.9,13.9,85.5,2.2,3.22,68.2,0.04,0.02,0.02,0.02,0.42,2.65,0.15,0,3.26
Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,38.1,46.6,81.8,564.6,108.6,21.6,23.5,91.8,11.5,13.6,84.7,2.86,5.31,53.9,0,0.13,0.16,-0.13,1.61,3.07,0.99,0.1,4.17
Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15,42.5,51.9,81.9,810.6,242.4,16.7,18.6,90,19.3,21.3,90.9,5.67,10.5,53.8,0.07,0.06,0.05,0.01,0.47,4.33,0.27,0,4.13
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,28.2,40,70.6,403.6,76,15.8,19.4,81.6,7.76,11,70.4,2.19,4.31,50.7,0.15,0.17,0.17,-0.03,1.66,1.75,1.22,0.2,3.15
Ezequiel Ãvila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,14.8,26.7,55.2,281.2,86.9,6.35,9.57,66.3,5.34,8.85,60.3,2.45,5.34,45.9,0.05,0.08,0.1,-0.03,0.87,1.15,1.3,0.87,2.26
Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,12.9,19.6,66,177.4,43.8,7.44,10.5,70.6,3.64,5.25,69.3,0.74,1.28,58.1,0.04,0.1,0.08,-0.06,1.12,1.28,0.83,0.12,2.11
Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,25.7,33.7,76.4,352.4,67.4,15.4,17.4,88.9,8.04,10.2,78.9,0.76,2.41,31.5,0.13,0.13,0.13,0.01,1.03,1.38,0.71,0.27,2.28
