Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,0.04,0.66,0.18,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,0.03,0.03,0.04,0.01,0.01
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0,0.88,0.21,24.1,0.88,0.21,0,0,24.2,0,0,0,0.05,0.05,0.05,-0.05,-0.05
Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,0.5,2.68,1.02,38,2.68,1.02,0.15,0.4,12.9,0.09,0.09,0.09,0.6,0.54,0.2,-0.11,-0.13
Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0.31,2.16,1.06,49,2.16,1.06,0.14,0.29,13.3,0,0,0,0.31,0.31,0.15,0,0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,0,0.13,0,0,0.13,0,0,,21.6,0,0,0,0.01,0.01,0.08,-0.01,-0.01
Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,0.04,1.27,0.6,46.9,1.27,0.6,0.03,0.07,21.2,0.16,0,0,0.08,0.08,0.06,-0.04,-0.04
Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0,0.72,0.05,6.7,0.72,0.05,0,0,11.9,0,0,0,0.06,0.05,0.07,-0.06,-0.05
Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,0.39,1.84,0.79,42.9,1.84,0.79,0.16,0.38,13.5,0,0.1,0.1,0.35,0.27,0.15,0.05,0.02
TomÃ¡s AlarcÃ³n,cl CHI,MF,CÃ¡diz,es La Liga,22,1999,15.8,0,0.95,0.13,13.3,0.95,0.13,0,0,24.1,0,0,0,0.07,0.07,0.07,-0.07,-0.07
Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,0.19,1.8,0.61,34,1.8,0.61,0.11,0.31,21,0.08,0,0,0.13,0.13,0.07,0.07,0.07
Thiago AlcÃ¡ntara,es ESP,MF,Liverpool,eng Premier League,30,1991,17,0.06,1.47,0.35,24,1.47,0.35,0.04,0.17,19.3,0,0,0,0.11,0.11,0.08,-0.05,-0.05
Carles AleÃ±Ã¡,es ESP,MF,Getafe,es La Liga,23,1998,25.8,0.04,1.78,0.54,30.4,1.78,0.54,0.02,0.07,24.2,0,0,0,0.07,0.07,0.04,-0.03,-0.03
Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,0.2,2.06,0.74,35.7,2.06,0.73,0.1,0.27,15.3,0,0,0,0.31,0.31,0.15,-0.12,-0.12
Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,0,0.29,0.12,42.9,0.29,0.12,0,0,24.5,0,0,0,0.01,0.01,0.03,-0.01,-0.01
Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,0.06,2.61,0.91,34.9,2.6,0.91,0.02,0.07,19.2,0.06,0,0,0.17,0.17,0.07,-0.11,-0.11
Miguel AlmirÃ³n,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19.1,0.05,1.68,0.37,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,0.09,0.09,0.05,-0.04,-0.04
Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,0,0.28,0.04,14.3,0.28,0.04,0,0,20.2,0,0,0,0.01,0.01,0.04,-0.01,-0.01
Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,0.19,1.37,0.5,36.4,1.37,0.5,0.14,0.38,16.4,0,0,0,0.19,0.19,0.14,-0.01,-0.01
Benjamin AndrÃ©,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,0.07,0.59,0.16,27.8,0.59,0.16,0.11,0.4,14.5,0,0,0,0.05,0.05,0.08,0.02,0.02
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,0.2,1.49,0.35,23.3,1.49,0.35,0.13,0.57,18.4,0.05,0,0,0.16,0.14,0.09,0.04,0.06
